"ensembl"	"hgnc_symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Entrez"
"ENSG00000119922"	"ENSG00000119922"	"IFIT2"	1585,72085074363	-1,45942357187932	0,152175688634403	-7,48755324917074	7,01693990789086e-14	7,96188781548682e-12	"3433"
"ENSG00000150593"	"ENSG00000150593"	"PDCD4"	718,742559558586	-1,58250446725064	0,168701555940105	-7,48365633153304	7,22828263705219e-14	8,13390879223988e-12	"27250"
"ENSG00000221963"	"ENSG00000221963"	"APOL6"	1768,45719325263	-1,43980637484473	0,15102175369119	-7,41486804036533	1,21745965622293e-13	1,35876480976488e-11	"80830"
"ENSG00000115267"	"ENSG00000115267"	"IFIH1"	1503,95933729979	-1,44726652017291	0,15210349498386	-7,41118092186192	1,25179669772417e-13	1,38572876717173e-11	"64135"
"ENSG00000068078"	"ENSG00000068078"	"FGFR3"	1150,58848077069	-1,35316343963221	0,139480305122298	-7,40723529910776	1,28959537863018e-13	1,41605892543779e-11	"2261"
"ENSG00000163435"	"ENSG00000163435"	"ELF3"	209,00445915646	-1,94017451558353	0,219862909597814	-7,36902153504312	1,71884897484524e-13	1,87230781131942e-11	"1999"
"ENSG00000174738"	"ENSG00000174738"	"NR1D2"	673,515891984802	-1,49733395710262	0,160030097334626	-7,35695332760311	1,88155097504361e-13	2,03326968858681e-11	"9975"
"ENSG00000165732"	"ENSG00000165732"	"DDX21"	5667,16609452599	1,13046996564503	0,110950346996309	7,30479883647405	2,77681863768308e-13	2,97709941501518e-11	"9188"
"ENSG00000157601"	"ENSG00000157601"	"MX1"	11545,6551919234	-1,39711054827796	0,14840651441982	-7,25783873092643	3,93324087018078e-13	4,1839849756548e-11	"4599"
"ENSG00000003436"	"ENSG00000003436"	"TFPI"	1723,91855304717	-1,1393331167293	0,113244393520916	-7,23508768297628	4,65228463948676e-13	4,91050446908928e-11	"7035"
"ENSG00000196923"	"ENSG00000196923"	"PDLIM7"	2357,51310616814	1,32449506281115	0,138930408594	7,23020304177334	4,82272445258781e-13	5,05124739587966e-11	"9260"
